React (https://github.com/facebook/react/issues),,,,,,,
#46918,Clicks not registered with webkit2gtk on Linux,https://github.com/flutter/flutter/issues/46918,"e: device-specific, f: gestures, good first contribution, platform-web, waiting for customer response",x,x,,x
#30478,Flutter tool should release cache lock when killed by a signal.,https://github.com/flutter/flutter/issues/30478,"P5, a: annoyance, a: china, customer: countless, good first contribution, severe: new feature, tool",x,x,,x
,,,,,,,
Nodejs(https://github.com/nodejs),,,,,,,
id,title,link,Labels,closed,OB,EB,S2R
#38499,worker_threads.moveMessagePortToContext results in an abort,https://github.com/nodejs/node/issues/38499,"c++, confirmed-bug, good first issue, worker",,x,x,x
#36674,stream: pipeline should error if any stream is destroyed,https://github.com/nodejs/node/issues/36674,"good first issue, stream ",,x,x,
#37995,"""fs.chownSync"" results in an abort",https://github.com/nodejs/node/issues/37995,"confirmed-bug, fs, good first issue
",x,x,x,x
#17709,Tracking issue: Migrate errors to internal/errors.js,https://github.com/nodejs/node/issues/17709,"errors, good first issue, lib / src",x,x,x,x
#38499,worker_threads.moveMessagePortToContext results in an abort,https://github.com/nodejs/node/issues/38499,"c++, confirmed-bug, good first issue, worker",x,x,x,x
#35288,Feature request: ChildProcess 'spawn' event,https://github.com/nodejs/node/issues/35288,"child_process, feature request, good first issue",x,x,x,x
#32250,Worker Threads: Add transferList to Worker constructor options,https://github.com/nodejs/node/issues/32250,"feature request, good first issue, worker",x,x,x,x
#34736,url.pathToFileURL doesn't generate valid URLs for UNC paths,https://github.com/nodejs/node/issues/34736,"confirmed-bug, good first issue, url, whatwg-url",x,x,x,
#33348,fs readdir with buffer and file types problem,https://github.com/nodejs/node/issues/33348,"confirmed-bug, fs, good first issue",x,x,x,
#30090,Doctool may swallow errors due to unhandled async functions,https://github.com/nodejs/node/issues/30090,"good first issue, tools",x,x,,x
#29113,Cannot read property 'bigint' of undefined,https://github.com/nodejs/node/issues/29113,"fs, good first issue",x,x,,
#28675,add note in BUILDING.md about running make distclean,https://github.com/nodejs/node/issues/28675,"doc, good first issue, help wanted",x,x,,x
#26546,lib: reduce internal usage of public require('util'),https://github.com/nodejs/node/issues/26546,"good first issue, help wanted, util",x,x,,
#26077,Bug: 'Eterm' → 'eterm' in getColorDepth,https://github.com/nodejs/node/issues/26077,"good first issue, tty",x,x,x,
#23491,Node core building instructions in one place,https://github.com/nodejs/node/issues/23491,good first issue,x,x,,x
,,,,,,,
,,,,,,,
Vuejs(https://github.com/vuejs/vue),,,,,,,
id,title,link,Labels,closed,OB,EB,S2R
#10152,Scoped Slot warns when used inside of dynamic component on regular element,https://github.com/vuejs/vue/issues/10152,"bug, contribution welcome, good first issue, has PR, warnings",x,x,x,x
#9114,Incorrect compiled code when usinig multiline v-if on template element as a slot renderer,https://github.com/vuejs/vue/issues/9114,"good first issue, has workaround, improvement",x,x,x,x
#8634,"Vue DevTools recommendation only shows for Chrome, not Firefox",https://github.com/vuejs/vue/issues/8634,"good first issue, has PR, improvement",x,x,x,x
#5605,"Warn when component option should be an object, but is a function",https://github.com/vuejs/vue/issues/5605,"contribution welcome, good first issue",x,x,x,x
#5603,optionMergeStrategies.inject,https://github.com/vuejs/vue/issues/5603,"contribution welcome, good first issue, improvement",x,x,x,x
#7711,HTML Keyboard Input element (<kbd>) is not supported,https://github.com/vuejs/vue/issues/7711,"good first issue, improvement",x,x,x,x
#6361,"<input :is=""textarea""> broken",https://github.com/vuejs/vue/issues/6361,"contribution welcome, good first issue, regression",x,x,x,x
#8017,2.5.14 introduces TypeError bind is not a function,https://github.com/vuejs/vue/issues/8017,"contribution welcome, feature request, good first issue, has PR",x,x,x,x
#7764,Make the warning messages more explicit,https://github.com/vuejs/vue/issues/7764,"feature request, good first issue, has PR",x,x,x,
#9734,"Add path to resolved vue package to vue-template-compiler's ""version mismatch"" error",https://github.com/vuejs/vue/issues/9734,"contribution welcome, good first issue, has PR, warnings",x,x,,x
#10871,VNodeDirective expression Typing,https://github.com/vuejs/vue/issues/10871,"contribution welcome, has PR, typescript",x,x,,x
#7479,Template renderer and CSP,https://github.com/vuejs/vue/issues/7479,"contribution welcome, feature request, has PR, improvement, intend to implement",x,x,,x
#3323,Interpolation fails on inline string containing HTML,https://github.com/vuejs/vue/issues/3323,"bug, contribution welcome",x,,x,x
,,,,,,,
Babel(https://github.com/babel),,,,,,,
id,title,link,Labels,closed,OB,EB,S2R
#12673,Get operation on private accessor without getter should throw,https://github.com/babel/babel/issues/12673,"Spec: Class Fields, good first issue, i: bug, outdated",x,x,x,x
